Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21G.712","Spanish Conversation and Composition","21G.704,permission of instructor",,,,,,Y,,,,"M. Ribas Groeger",,"HASS-H",
"21G.713","Spanish through Film: Mexico, Chile, Argentina, and Spain","21G.704,permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.714","Spanish for Heritage Learners","Fluency in a Spanish dialect,permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.715","Topics in Medicine and Public Health in the Hispanic World","21G.704,permission of instructor",,,,,,Y,,,,"M. San Martin",,"HASS-H",
"21G.716","Introduction to Contemporary Hispanic Literature and Film","One intermediate subject in Spanish,permission of instructor",,"21L.636[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21G.717","Introduction to Hispanic Culture","One intermediate subject in Spanish,permission of instructor",,"21L.637[J]",,,"2017-2018",,,Y,,,,"HASS-H",
"21G.731","Creation of a Continent: Representations of Hispanic America, 1492-1898, in Literature and Film","One intermediate Spanish subject,permission of instructor",,"21H.274[J]",,,"2018-2019",,,Y,,,,"HASS-H",
"21G.732","The Making of the Latin American City: Culture, Gender, and Citizenship","One intermediate subject in Spanish,permission of instructor",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21G.735","Advanced Topics in Hispanic Literature and Film","One intermediate Spanish subject,permission of instructor",,,,,,Y,,Y,,"L. Greene",,"HASS-H",
"21G.736","The Short Story in Spain and Hispanic America","One intermediate subject in Spanish,permission of instructor",,,,,,Y,,,,"L. Ewald",,"HASS-H",
"21G.738","Literature and Social Conflict: Perspectives on the Hispanic World","One intermediate subject in Spanish,permission of instructor",,"21L.638[J]",,,"2018-2019",Y,,,,"J. Terrones",,"HASS-H",
"21G.739","Globalization and its Discontents: Spanish-speaking Nations","One intermediate subject in Spanish,permission of instructor",,"21L.639[J]",,,"2018-2019",,,Y,,,,"HASS-H",
"21G.740","The New Spain: 1977-Present","One intermediate subject in Spanish,permission of instructor",,"21L.640[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21G.751","Spanish I","",,,,"21G.701",,Y,Y,Y,,,,,
