Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"1.106","Environmental Fluid Transport Processes and Hydrology Laboratory","","1.061A;1.070A",,,,,Y,,,,"H. Nepf, D. Entekhabi",,,"LAB2"
"1.107","Environmental Chemistry and Biology Laboratory","1.018A,permission of instructor","1.080A",,,,,,,Y,,"J. Kroll",,,"LAB2"
"1.124","Software and Computation for Simulation","1.00,permission of instructor",,"2.091[J]",,,,Y,,,,"J. R. Williams",,,
"1.125","Architecting & Engineering Software Systems","1.00,1.124J,permission of instructor",,,,,,Y,,,,"J. Williams",,,
"1.126","Pattern Recognition and Analysis","Permission of instructor",,"MAS.622[J]",,,,Y,,,,"R. W. Picard",,,
"1.128","Computational Geometry","Permission of instructor",,"2.089[J]",,,,,,Y,,"N. M. Patrikalakis, D. C. Gossard",,,
"1.138","Wave Propagation","2.003;18.075",,"2.062[J],18.376[J]",,,"2017-2018",,,Y,,"T. R. Akylas, R. R. Rosales",,,
"1.142","Robust Modeling, Optimization, and Computation","18.06,permission of instructor",,"15.094[J]",,,,,,Y,,"D. Bertsimas",,,
"1.146","Engineering Systems Analysis for Design","Permission of instructor",,,"IDS.333",,,Y,,,,"R. de Neufville",,,
"1.151","Probability and Statistics in Engineering","Permission of instructor",,,,,,,,Y,,"D. Veneziano",,,
"1.153","Transportation Policy, the Environment, and Livable Communities","1.011",,,,"1.253[J],11.543[J]",,,,Y,,"J. Coughlin",,,
"1.200","Transportation Systems Analysis: Performance and Optimization","1.010;permission of instructor",,"11.544[J]",,,,,,,,"C. Osorio",,,
"1.201","Transportation Systems Analysis: Demand and Economics","Permission of instructor",,"11.545[J]",,,,Y,,,,,,,
"1.202","Demand Modeling","1.201,permission of instructor",,,,,,,,Y,,,,,
"1.203","Applied Probability and Stochastic Models","6.041B",,"15.073[J],IDS.700[J]",,,,Y,,,,"A. Barnett, R. Larson",,,
"1.204","Computer Modeling: From Human Mobility to Transportation Networks","1.001;1.010;permission of instructor",,,,,,,,Y,,"M. C. Gonzalez",,,
"1.205","Advanced Demand Modeling","1.202,permission of instructor",,,,,"2017-2018",Y,,,,"M. Ben-Akiva",,,
"1.207","Computer Algorithms in Systems Engineering","1.001,permission of instructor",,,,,,,,Y,,,,,
"1.208","Resilient Infrastructure Networks","1.151,6.431B;15.093",,,,,,Y,,,,"S. Amin",,,
"1.231","Planning and Design of Airport Systems","Permission of instructor",,"16.781[J],IDS.670[J]",,,"2017-2018",Y,,,,"R. de Neufville, A. R. Odoni",,,
"1.232","The Airline Industry","",,"15.054[J],16.71[J]",,,,Y,,,,"P. P. Belobaba, A. I. Barnett, C. Barnhart, R. J. Hansman, T. A. Kochan",,,
"1.233","Air Transportation Operations Research","16.71,6.431B,15.093,permission of instructor",,"16.763[J]",,,"2018-2019",,,Y,,"H. Balakrishnan, C. Barnhart, P. P. Belobaba",,,
"1.234","Airline Management","16.71J",,"16.75[J]",,,"2017-2018",,,Y,,"P. P. Belobaba",,,
