Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"7.03","Genetics","Biology GIR",,,,,,Y,,Y,,"P. Gupta, P. Reddien",,,"REST"
"7.05","General Biochemistry","5.12,Biology GIR,permission of instructor",,,"5.07,20.507",,,,,Y,,,,,"REST"
"7.06","Cell Biology","7.03;7.05",,,,,,Y,,Y,,"A. Martin, F. Solomon",,,
"7.08","Biological Chemistry II","5.12;5.07,7.05",,"5.08[J]",,"7.80",,,,Y,,,,,
"7.09","Quantitative and Computational Biology","7.03;7.05",,,,,,,,Y,,,,,
"7.102","Laboratory in Molecular Biology","",,,,,,,Y,,,,,,"LAB2"
"7.11","Biology Teaching","",,,,,,Y,,Y,,"J. Chang",,,
"7.18","Topics in Experimental Biology","7.02;7.06;an approved research experience;permission of instructor",,,,"7.19",,Y,,Y,,"J. Chen, A. Sinskey",,,
"7.19","Communication in Experimental Biology","7.02;7.06;permission of instructor",,,,"7.18",,Y,,Y,,,,,
"7.20","Human Physiology","7.05",,"HST.540[J]",,,,Y,,,,"M. Krieger, D. Sabatini, C. Woolley",,,
"7.21","Microbial Physiology","7.03;7.05",,,,"7.62",,Y,,,,"G. Walker, A. Sinskey",,,
"7.22","Developmental Biology","7.06",,,,,"2017-2018",Y,,,,,,,
"7.23","Immunology","7.06",,,,"7.63","2017-2018",Y,,,,,,,
"7.26","Molecular Basis of Infectious Disease","7.06",,,,"7.66",,,,Y,,,,,
"7.27","Principles of Human Disease","7.06",,,,,,,,Y,,,,,
"7.28","Molecular Biology","7.03","7.05",,,"7.58",,,,Y,,,,,
"7.29","Cellular and Molecular Neurobiology","7.05,9.01",,"9.09[J]",,,,,,Y,,,,,
"7.30A","Fundamentals of Ecology I","",,"1.018A[J],12.031A[J]",,,,Y,,,,"O. Cordero Sanchez",,,
"7.30B","Fundamentals of Ecology II","1.018A",,"1.018B[J],12.031B[J]",,,,Y,,,,"M. Follows",,,
"7.31","Current Topics in Mammalian Biology: Medical Implications","7.06,permission of instructor",,,,,,Y,,,,"F. Gertler, R. Jaenisch",,,
"7.32","Systems Biology","18.03;18.05;permission of instructor",,,,"7.81[J],8.591[J]",,Y,,,,"J. Gore",,,
"7.33","Evolutionary Biology: Concepts, Models and Computation","7.03;6.0001,permission of instructor",,"6.049[J]",,,"2017-2018",,,Y,,,,,
"7.331","Infections and Inequalities: Interdisciplinary Perspectives on Global Health","",,"21A.331[J],HST.431[J]",,,"2017-2018",,,Y,,,,"HASS-S",
"7.340","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,"J. Chang",,,
"7.341","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,"J. Chang",,,
"7.342","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,"J. Chang",,,
"7.343","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,"J. Chang",,,
"7.344","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,"J. Chang",,,
"7.345","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,,,,
"7.346","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,,,,
"7.347","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,,,,
"7.348","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,,,,
"7.349","Advanced Undergraduate Seminar","7.06,7.28",,,,,,Y,,Y,,,,,
"7.37","Molecular and Engineering Aspects of Biotechnology","2.005,3.012,5.60,20.110;7.06;permission of instructor",,"10.441[J],20.361[J]","7.371",,"2017-2018",,,Y,,,,,
"7.371","Biological and Engineering Principles Underlying Novel Biotherapeutics","7.06",,,"7.37,10.441,20.361",,,Y,,,,"J. Chen, H. Lodish",,,
"7.41","Principles of Chemical Biology","7.05",,,,"7.73",,,,Y,,,,,
"7.45","The Hallmarks of Cancer","","7.06",,,"7.85",,Y,,,,"M. Vander Heiden, T. Jacks",,,
"7.458","Advances in Biomanufacturing","",,"10.03[J]",,"7.548[J],10.53[J]",,,,Y,,,,,
"7.49","Developmental Neurobiology","9.01,7.03,7.05,permission of instructor",,"9.18[J]",,"7.69[J],9.181[J]","2017-2018",,,Y,,,,,
"7.391","Independent Study in Biology","",,,,,,Y,,Y,,"J. Chang",,,
"7.392","Independent Study in Biology","",,,,,,Y,,Y,,"J. Chang",,,
"7.393","Independent Study in Genetics","",,,,,,Y,,Y,,"J. Chang",,,
"7.394","Independent Study in Biochemistry","",,,,,,Y,,Y,,"J. Chang",,,
"7.395","Independent Study in Cell and Molecular Biology","",,,,,,Y,,Y,,"J. Chang",,,
"7.396","Independent Study in Experimental Biology",,,,,,,,,,,"J. Chang",,,
"7.S391","Special Subject in Biology","Permission of instructor",,,,,,Y,,Y,Y,"J. Chang",,,
"7.S392","Special Subject in Biology","Permission of instructor",,,,,,Y,Y,Y,,,,,
"7.S399","Special Subject in Biology","Permission of instructor",,,,,,Y,Y,Y,,,,,
"7.UR","Undergraduate Research","Permission of department.",,,,,,Y,Y,Y,Y,"J. Stone",,,
"7.URG","Undergraduate Research",,,,,,,,,,,"J. Stone",,,
"7.410","Applied Statistics","Permission of instructor",,,,,,,,Y,,,,,
"7.411","Seminars in Biological Oceanography","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.421","Problems in Biological Oceanography","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.430","Topics in Quantitative Marine Science","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.431","Topics in Marine Ecology","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.432","Topics in Marine Physiology and Biochemistry","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.433","Topics in Biological Oceanography","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.434","Topics in Zooplankton Biology","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.435","Topics in Benthic Biology","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.436","Topics in Phytoplankton Biology","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.437","Topics in Molecular Biological Oceanography","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.438","Topics in the Behavior of Marine Animals","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.439","Topics in Marine Microbiology","Permission of instructor",,,,,,Y,,Y,,"J. Westwater",,,
"7.440","An Introduction to Mathematical Ecology","Calculus I GIR,7.30B,permission of instructor",,,,,"2018-2019",,,Y,,,,,
"7.470","Biological Oceanography","Permission of instructor",,,,,,,,Y,,,,,
"7.491","Research in Biological Oceanography","Permission of instructor",,,,,,Y,,Y,Y,"J. Westwater",,,
"7.492","Methods and Problems in Microbiology","",,"1.86[J],20.445[J]",,,,Y,,,,"M. Laub",,,
"7.493","Microbial Genetics and Evolution","7.03,7.05,permission of instructor",,"1.87[J],12.493[J],20.446[J]",,,,Y,,,,"A. Grossman",,,
"7.494","Research Problems in Microbiology","Permission of instructor",,,,,,Y,,Y,Y,"S. Kahn",,,
"7.498","Teaching Experience in Microbiology","Permission of instructor",,,,,,Y,,Y,,"S. Kahn",,,
"7.499","Research Rotations in Microbiology","Permission of instructor","7.492,7.493",,,,,Y,,Y,,"S. Kahn",,,
"7.MTHG","Microbiology Graduate Thesis","Permission of instructor",,,,,,Y,Y,Y,Y,"S. Kahn",,,"BIOL"
"7.50","Method and Logic in Molecular Biology","Permission of instructor","7.51;7.52",,,,,Y,,,,"M. Gehring, D. Housman, L. Guarente, D. Sabatini, F. Solomon, I. Cheeseman",,,
"7.51","Principles of Biochemical Analysis","Permission of instructor",,,,,,Y,,,,"R. Sauer, A. Keating",,,
"7.52","Genetics for Graduate Students","Permission of instructor",,,,,,Y,,,,"H. Horvitz, D. Housman, A. Amon",,,
"7.540","Frontiers in Chemical Biology","5.13;5.07;7.06;permission of instructor",,"5.54[J],20.554[J]",,,,Y,,,,"L. Kiessling",,,
"7.546","Science and Business of Biotechnology","Permission of instructor","15.401","15.480[J],20.586[J]",,,,,,Y,,,,,
"7.547","Principles and Practice of Drug Development","Permission of instructor",,"10.547[J],15.136[J],HST.920[J],IDS.620[J]",,,,Y,,,,"S. Finkelstein, A. Sinskey, R. Rubin",,,
"7.548","Advances in Biomanufacturing","",,"10.53[J]",,"7.458[J],10.03[J]",,,,Y,,"A. Sinskey",,,
"7.549","Case Studies and Strategies in Drug Discovery and Development","",,"15.137[J],20.486[J],HST.916[J]",,,,,,Y,,,,,
"7.55","Case Studies in Modern Experimental Design","Permission of instructor",,,,,,,,Y,,,,,
"7.57","Quantitative Biology for Graduate Students","Permission of instructor",,,,,,,,Y,,,,,
"7.58","Molecular Biology","7.03;7.05;permission of instructor",,,,"7.28",,,,Y,,,,,
"7.59","Teaching College-Level Science and Engineering","",,"1.95[J],5.95[J],8.395[J],18.094[J]",,"2.978",,Y,,,,"J. Rankin",,,
"7.60","Cell Biology: Structure and Functions of the Nucleus","7.06,permission of instructor",,,,,,,,Y,,,,,
"7.61","Eukaryotic Cell Biology: Principles and Practice","Permission of instructor",,,,,,Y,,,,"M. Krieger, C. Woolley",,,
"7.62","Microbial Physiology","7.03;7.05;permission of instructor",,,,"7.21",,Y,,,,,,,
"7.63","Immunology","7.06;permission of instructor",,,,"7.23","2017-2018",Y,,,,,,,
"7.64","Molecular Mechanisms, Pathology and Therapy of Human Neuromuscular Disorders","Permission of instructor",,,,,,,,Y,,,,,
"7.65","Molecular and Cellular Neuroscience Core I","",,"9.015[J]",,,,Y,,,,"T. Littleton",,,
"7.66","Molecular Basis of Infectious Disease","7.06;permission of instructor",,,,"7.26",,,,Y,,,,,
"7.67","Genetic Methods in Neurobiology","Permission of instructor",,"9.322[J]",,,,,,Y,,,,,
"7.68","Molecular and Cellular Neuroscience Core II","Permission of instructor",,"9.013[J]",,,,,,Y,,,,,
"7.69","Developmental Neurobiology","9.011,permission of instructor",,"9.181[J]",,"7.49[J],9.18[J]","2017-2018",,,Y,,,,,
"7.70","Regulation of Gene Expression","Permission of instructor",,,,,,,,Y,,,,,
"7.71","Structural and Biophysical Analysis of Biological Macromolecules","5.13;5.60;5.07,7.05;permission of instructor.",,,,"5.78",,,,Y,,,,,
"7.72","Principles and Frontiers of Developmental Biology","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"7.73","Principles of Chemical Biology","7.05;Permission of instructor",,,,"7.41",,,,Y,,,,,
"7.74","Topics in Biophysics and Physical Biology","",,"8.590[J],20.416[J]",,,,Y,,,,"N. Fakhri",,,
"7.76","Topics in Macromolecular Structure and Function","Permission of instructor",,,,,,,,Y,,,,,
"7.77","Nucleic Acids, Structure, Function, Evolution and Their Interactions with Proteins","7.05,7.51,permission of instructor",,,,,"2017-2018",,,Y,,,,,
"7.80","Biological Chemistry II","5.12;5.07,7.05",,,,"5.08[J],7.08[J]",,,,Y,,,,,
