Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"15.385","Sustainability-Oriented Innovation and Entrepreneurship","",,,,,,Y,,,,"J. Jay, G. Clark",,,
"15.386","Managing in Adversity","",,,,,,Y,,Y,,"P. Kurzina, C. Jenkins, J. McAuliffe",,,
"15.387","Entrepreneurial Sales","",,,,,,Y,,Y,,"N. Shipley, K. Arnold",,,
"15.389","Global Entrepreneurship Lab","",,,,,,Y,Y,,,,,,
"15.390","New Enterprises","",,,,"15.3901",,Y,,Y,,,,,
"15.3901","New Enterprises","",,,,"15.390",,Y,,Y,,,,,
"15.392","Scaling Entrepreneurial Ventures","15.371,15.390",,,,,,,,Y,,,,,
"15.393","The Nuts and Bolts of New Ventures","",,,,,,,Y,,,,,,
"15.394","Dilemmas in Founding New Ventures","",,,"15.3941",,,,,Y,,,,,
"15.3941","Dilemmas in Founding New Ventures","",,,"15.394",,,,,Y,,,,,
"15.395","Entrepreneurship Without Borders","",,,,,,Y,,,,"S. Johnson, M. Fiorenza",,,
"15.396","Seminar in Entrepreneurship","",,,,,,,,Y,,,,,
"15.397","Seminar in Entrepreneurship","",,,,,,Y,,,,"S. Johnson",,,
"15.398","Corporations at the Crossroads: The CEO Perspective","",,,,,,,,Y,,,,,
"15.399","Entrepreneurship Lab","",,,"15.3991",,,Y,,Y,,"C. Catalini, J. Dougherty, T. Pecherska, J. Browne, R. Walsh",,,
"15.3991","Entrepreneurship Lab","",,,"15.399",,,Y,,Y,,"C. Catalini, J. Dougherty, T. Pecherska",,,
"15.401","Managerial Finance","",,,,,,Y,,Y,,,,,
"15.402","Corporate Finance","15.401",,,"15.418",,,Y,,Y,,,,,
"15.403","Introduction to the Practice of Finance","",,,,,,Y,,,,"J. Parsons, R. Allen",,,
"15.414","Financial Management","15.511",,,"15.724",,,,,,Y,"Section B: N. Bergman, D. Lucas",,,
"15.415","Finance Theory","",,,,,,,,,Y,"Section A: L. Kogan; Section B: J. Wang",,,
"15.417","Laboratory in Investments","",,,,,,,,Y,,,,,"LAB"
"15.418","Laboratory in Corporate Finance","15.417",,,"15.402",,,Y,,Y,,"S. Myers, S. Myers, P. Thompson, S. Myers, P. Thompson",,,"LAB"
"15.425","Corporate Finance","15.415",,,,,,Y,,,,,,,
"15.426","Real Estate Finance and Investment","Permission of instructor",,"11.431[J]",,,,Y,,,,"D. Geltner",,,
"15.427","Real Estate Capital Markets","11.431;15.402,15.414",,"11.432[J]",,,,,,Y,,,,,
"15.428","Tools for Analysis: Design for Real Estate and Infrastructure Development","",,"11.434[J],IDS.720[J]",,,,,,Y,,,,,
"15.429","Securitization of Mortgages and Other Assets","15.426,15.401,permission of instructor",,"11.353[J]",,,"2017-2018",,,Y,,,,,
"15.431","Entrepreneurial Finance and Venture Capital","15.402,15.414,15.415",,,"15.4311,15.719",,,Y,,,,,,,
"15.4311","Entrepreneurial Finance and Venture Capital","15.418",,,"15.431,15.719",,,,,Y,,,,,
"15.433","Financial Markets","15.401,15.414,15.415",,,,"15.4331",,Y,,,,,,,
"15.4331","Financial Markets","15.411",,,,"15.433",,Y,,,,,,,
"15.434","Advanced Corporate Finance","15.402,15.414,15.415",,,"15.4341",,,Y,,,,,,,
"15.4341","Advanced Corporate Finance","15.418",,,"15.434",,,Y,,,,,,,
"15.436","Cases in Corporate Finance: Bridging Theory and Practice","15.402",,,,,,Y,,Y,,"N. Gregory, L. Brentrup",,,
"15.437","Options and Futures Markets","15.401,15.414,15.415",,,"15.4371",,,Y,,,,"S. Kogan, J. Cowin, S. Kogan, J. Cowin, S. Kogan, J. Cowin",,,
"15.4371","Options and Futures Markets","15.417",,,"15.437",,,Y,,,,"S. Kogan, J. Cowin, S. Kogan, J. Cowin, S. Kogan, J. Cowin",,,
"15.438","Fixed Income Securities and Derivatives","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.439","Investment Management","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.444","International Corporate Finance","15.402,15.414,15.415",,,,,"2017-2018",,,Y,,,,,
"15.445","Mergers, Acquisitions and Private Equity","15.515,15.516","15.402,15.414,15.415",,"15.4451",,,,,Y,,,,,
"15.4451","Mergers, Acquisitions, and Private Equity","15.501","15.402,15.414,15.415",,"15.445",,,,,Y,,,,,
"15.447","International Capital Markets","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.448","Seminar in Finance","",,,,,,Y,,,,"D. Lessard",,,
"15.449","Seminar in Finance","",,,,,,Y,,,,"D. Lessard",,,
"15.450","Analytics of Finance","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.451","Proseminar in Capital Markets/Investment Management","15.401,15.414,15.415",,,,,,Y,,,,"M. Kritzman, R. Allen, C. Monique, J. Parker, J. Cowin",,,
"15.452","Proseminar in Corporate Finance/Investment Banking","15.402,15.414,15.415",,,,,,Y,,,,"J. Parsons, J. Parsons, R. Allen, J. Parsons, R. Allen",,,
"15.453","Finance Research Practicum","15.401,15.414,15.415",,,,,,,Y,Y,,,,,
"15.454","Fundamentals of Financial Mathematics","",,,,,,,,,Y,,,,
"15.455","Advanced Financial Mathematics","",,,,,,,,,Y,,,,
"15.456","Financial Engineering","15.401,15.414,15.415",,,,,,Y,,,,"L. Kogan, J. Alton, J. Wang",,,
"15.466","Functional and Strategic Finance","15.433,15.437",,,,,,,,Y,,,,,
"15.467","Asset Management, Lifecycle Investing, and Retirement Finance","15.433",,,,,,,,Y,,,,,
"15.470","Introduction to Financial Economics","",,"14.416[J]",,,,Y,,,,"L. Kogan, J. Alton, J. Wang",,,
"15.471","Advanced Corporate Finance","",,"14.441[J]",,,,,,Y,,,,,
"15.472","Advanced Topics in Financial Economics I","",,"14.442[J]",,,,Y,,,,"A. Verdelhan, L. Brentrup, J. Cowin, J. Parker, D. Greenwald, C. Monique",,,
"15.473","Advanced Topics in Financial Economics II","",,"14.440[J]",,,,,,Y,,,,,
"15.474","Current Topics in Finance","",,,,,,,,Y,,,,,
"15.480","Science and Business of Biotechnology","Permission of instructor","15.401","7.546[J],20.586[J]",,,,,,Y,,,,,
"15.481","Financial Market Dynamics and Human Behavior","15.401,15.414,15.415",,"6.935[J]",,,"2017-2018",,,Y,,,,,
"15.482","Healthcare Finance","15.401,15.414,15.415,permission of instructor",,,,,"2017-2018",,,Y,,,,,
"15.483","Consumer Finance: Markets, Product Design, and FinTech","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.487","Algorithmic Trading and Quantitative Investment Strategies","15.401,15.414,15.415",,,"15.4871",,"2017-2018",,,Y,,,,,
"15.4871","Algorithmic Trading and Quantitative Investment Strategies","15.401,15.414,15.415",,,"15.487",,"2017-2018",,,Y,,,,,
"15.491","Practice of Finance: Advanced Corporate Risk Management","15.402,15.414,15.415",,,,,"2017-2018",,,Y,,,,,
"15.493","Practice of Finance: Perspectives on Investment Management","15.402,15.414,15.415",,,,,,Y,,Y,,"J. Shames, R. Allen",,,
"15.496","Practice of Finance: Data Technologies for Quantitative Finance","15.401,15.414,15.415",,,,,,Y,,,,"P. Mende, R. Kissinger",,,
"15.497","FinTech Ventures","",,,,,,Y,,,,"M. Rhodes-Kropf, R. Kissinger",,,
"15.498","Practice of Finance: Project Finance","15.401,15.414,15.415",,,,,,Y,,,,"J. Parsons, R. Allen",,,
"15.499","Practice of Finance: Social Impact Investing","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.501","Corporate Financial Accounting","",,,"15.516",,,Y,,Y,,"D. Samuels, L. Brentrup, D. Samuels, L. Brentrup, D. Samuels, L. Brentrup",,,
"15.511","Financial Accounting","Permission of instructor",,,"15.720",,,,,,Y,"Section B: S. Kothari",,,
"15.514","Financial and Managerial Accounting","",,,,,,,,,Y,,,,
"15.515","Financial Accounting","Permission of instructor",,,,,,Y,,,,,,,
"15.516","Corporate Financial Accounting","Permission of instructor",,,"15.501",,,Y,,Y,Y,"Section A: J. Cohen; Section B: E. So",,,
"15.518","Taxes and Business Strategy","15.501,15.511,15.515,15.516",,,"15.5181",,,,,Y,,,,,
"15.5181","Taxes and Business Strategy","15.501",,,"15.518",,,,,Y,,,,,
"15.521","Cost Analysis and Accounting for the Manager, Entrepreneur, and Investor","15.511,15.515,15.516",,,,,,,,Y,,,,,
"15.522","Security Design and Corporate Financing","15.401;15.402,15.414;15.433,15.434",,,,,"2017-2018",,,Y,,,,,
"15.535","Business Analysis Using Financial Statements","15.501,15.511,15.515,15.516;15.401,15.414,15.415",,,,,,Y,,Y,,,,,
"15.539","Doctoral Seminar in Accounting","15.515",,,,,,Y,,Y,,"S. Kothari, J. Donnelly",,,
"15.561","Information Technology Essentials","",,,,,"2017-2018",,,Y,,,,,
"15.564","IT Essentials II: Advanced Technologies for Digital Business in the Knowledge Economy","",,,,,"2017-2018",,,Y,,,,,
"15.565","Digital Evolution: Managing Web 3.0","Permission of instructor",,"IDS.345[J]",,,,Y,,,,"S. Madnick, J. Climent",,,
"15.567","The Economics of Information: Strategy, Structure and Pricing","Permission of instructor",,,,,,Y,,,,"E. Brynjolfsson, N. Stephen",,,
"15.569","Leadership Lab: Leading Sustainable Systems","Permission of instructor",,,,,"2017-2018",Y,Y,,,,,,
"15.570","Digital Marketing and Social Media Analytics","",,,,,,Y,,,,"S. Aral, S. Aral, J. Challis, S. Aral, J. Challis",,,
"15.571","Enterprise Transformations in the Digital Economy","",,,,,,,,Y,,,,,
"15.572","Analytics Lab: Action Learning Seminar on Analytics, Machine Learning, and the Digital Economy","Permission of instructor",,,,,,Y,,,,"S. Aral, E. Brynjolfsson, N. Stephen, J. Challis",,,
"15.575","Economics of Information and Information Technology","Permission of instructor",,,,,,Y,,,,"E. Brynjolfsson, N. Stephen",,,
"15.576","Research Seminar in Information Technology and Organizations: Social Perspectives","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"15.579","Seminar in Information Technology","",,,,,,Y,,Y,,"S. Madnick",,,
"15.580","Seminar in Information Technology","",,,,,,Y,,Y,,"S. Madnick",,,
"15.599","Workshop in Digitization","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"15.615","Essential Law for Business","",,,,,,Y,,Y,,"J. Akula, P. Curley",,,
"15.616","Basic Business Law, Tilted Towards Key Emerging Issues","",,,,,"2017-2018",Y,,,,,,,
"15.617","Deals, Finance, and the Law","",,,"15.6171",,"2017-2018",,,Y,,,,,
"15.6171","Deals, Finance, and the Law","",,,"15.617",,"2017-2018",,,Y,,,,,
"15.618","Entrepreneurship, Innovation, Startups and the Law","",,,"15.6181",,,Y,,Y,,"J. Akula, P. Curley",,,
"15.6181","Entrepreneurship, Innovation, Startups and the Law","",,,"15.618",,,,,Y,,,,,
"15.620","Patent Law Fundamentals","",,,,,,,Y,,,,,,
"15.647","Seminar in Law","",,,,,,Y,,,,"J. Akula",,,
"15.648","Seminar in Law","",,,,,,Y,,,,"J. Akula",,,
"15.649","Seminar in Law","",,,,,,Y,,,,"J. Akula",,,
"15.655","Law, Technology, and Public Policy","",,"IDS.435[J]",,,,,,Y,,,,,
"15.657","Technology, Globalization, and Sustainable Development","Permission of instructor",,"1.813[J],11.466[J],IDS.437[J]",,,,Y,,,,"N. Ashford",,,
"15.660","Strategic Human Resource Management","15.311",,,,,"2017-2018",,,Y,,,,,
"15.661","Building Successful Careers and Organizations","",,,,,,,,Y,,,,,
"15.662","Managing Sustainable Businesses for People and Profits","",,"11.383[J]",,,,,,Y,,,,,
"15.663","Environmental Law, Policy, and Economics: Pollution Prevention and Control","",,"1.811[J],11.630[J],IDS.540[J]",,"1.801[J],11.021[J],17.393[J],IDS.060[J]",,Y,,,,"N. Ashford",,,
"15.665","Power and Negotiation","Permission of instructor",,,,,,Y,,Y,,,,,
"15.667","Negotiation and Conflict Management","Permission of instructor",,,,,"2017-2018",,,Y,,,,,
"15.668","People and Organizations","",,,,,"2017-2018",,,Y,,,,,
"15.669","Strategies for People Analytics","15.311,permission of instructor",,,,,,,,Y,,,,,
"15.671","U-Lab: Transforming Self, Business and Society","",,,,,,Y,,,,"O. Scharmer, B. Seigler, R. Harrington",,,
"15.672","Negotiation Analysis","Permission of instructor",,,"15.665,15.712","15.6721,15.673,15.6731",,,Y,,,,,,
"15.6721","Negotiation Analysis","Permission of instructor",,,"15.665,15.712","15.672,15.673,15.6731",,,Y,,,,,,
"15.673","Negotiation Analysis","Permission of instructor",,,"15.665,15.712","15.672,15.6721,15.6731",,,Y,,,,,,
"15.6731","Negotiation Analysis","Permission of instructor",,,"15.665,15.712","15.672,15.6721,15.673",,,Y,,,,,,
"15.676","Work, Employment, and Industrial Relations Theory","Permission of instructor",,,,,,,,Y,,,,,
"15.677","Urban Labor Markets and Employment Policy","Permission of instructor",,"11.427[J]",,,,,,Y,,,,,
"15.678","Political Economy I: Theories of the State and the Economy","Permission of instructor",,"14.781[J],17.100[J]",,,,,,Y,,,,,
"15.680","Machine Learning: Algorithms, Applications, and Computation","",,,,,,Y,,,,"D. Bertsimas, A. Carvalho",,,
"15.681","From Analytics to Action","",,,,,,Y,,,,"R. Reagans, N. Resiak",,,
"15.691","Research Seminar in Work, Employment and Industrial Relations","Permission of instructor",,,,,,Y,,,,"T. Kochan",,,
"15.698","Seminar in Industrial Relations and Human Resource Management","",,,,,,Y,Y,,Y,"P. Osterman",,,
"15.700","Leadership and Integrative Management","Permission of instructor",,,,,,Y,,,,,,,
"15.701","Innovation-Driven Entrepreneurial Advantage","","15.714,permission of instructor",,,,,,,Y,Y,,,,
"15.702","Leading in a Global Context: Macroeconomics and Global Markets","Permission of instructor",,,,,,Y,,,,"S. Johnson, S. Johnson, M. Fiorenza, S. Johnson, M. Fiorenza",,,
"15.703","Leading with Impact","Permission of instructor",,,,,,,,Y,,,,,
"15.705","Organizations Lab","Permission of instructor","15.716",,,,,Y,,,Y,"D. Kieffer, N. Repenning",,,
"15.707","Global Strategy","Permission of instructor",,,,,,Y,,Y,,,,,
"15.708","Global Organizations Lab","Permission of instructor",,,,,,,,Y,,,,,
"15.709","Key Decisions for Corporate Boards","",,,,,,,Y,,,,,,
"15.711","Executing Strategy for Results","",,,"15.361",,,,Y,,,,,,
"15.712","Negotiation and Influence","Permission of instructor",,,,,,,,Y,,,,,
"15.713","Principles of Fundamental Analysis","",,,,,,,Y,,,,,,
"15.714","Competitive Strategy","Permission of instructor",,,"15.902",,,,,Y,Y,,,,
"15.715","Entrepreneurial Strategy","",,,"15.911",,,,Y,,,,,,
"15.716","Leading Organizations","",,,"15.322",,,,,,Y,"Section B: H. Gregersen",,,
"15.717","Organizational Processes","Permission of instructor",,,,,,Y,,,,"R. Fernandez, R. Fernandez, N. Resiak, R. Fernandez, N. Resiak",,,
"15.719","Entrepreneurial Finance","",,,"15.431,15.4311",,,,Y,,,,,,
"15.720","Financial Accounting","Permission of instructor",,,"15.511",,,,,Y,,,,,
"15.722","Applied Economics for Managers","Permission of instructor",,,"15.024",,,Y,,,,,,,
