Subject Id,Subject Title,Total Units,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
1.562,Structural Design Project I,12,,Y,,,
1.563,Structural Design Project II,12,,,,Y,
1.57,Mechanics of Materials: An Energy Approach,12,,Y,,,
1.570,Micromechanics and Durability of Solids,12,,,,Y,
1.571,Modeling and Analysis of Structures,12,,,,Y,
1.572,Structural Systems,9,,,,Y,
1.573,Structural Mechanics,12,,Y,,,
1.575,Computational Structural Design and Optimization,,2017-2018,Y,,,
1.581,Structural Dynamics,12,,Y,,,
1.582,Design of Steel Structures,9,2017-2018,Y,,,
1.589,Studies in Structural Design and Analysis,,,Y,,Y,Y
1.61,Transport Processes in the Environment,12,,Y,,,
1.63,Advanced Fluid Dynamics,12,2017-2018,,,Y,
1.631,Fluid Dynamics and Disease,12,,,,Y,
1.64,Physical Limnology,12,2018-2019,,,Y,
1.66,Problems in Water Resources and Environmental Engineering,,,Y,,Y,Y
1.67,Sediment Transport and Coastal Processes,12,,,,Y,
1.685,Nonlinear Dynamics and Waves,12,2018-2019,,,Y,
1.686,Nonlinear Dynamics and Turbulence,12,2017-2018,,,Y,
1.69,Introduction to Coastal Engineering,12,,Y,,,
1.692,Ocean Wave Interaction with Ships and Offshore Energy Systems,12,2017-2018,,,Y,
1.699,Projects in Oceanographic Engineering,,,Y,,Y,Y
1.714,Surface Hydrology,12,2018-2019,Y,,,
1.72,Groundwater Hydrology,12,,Y,,,
1.721,Advanced Subsurface Hydrology,12,,,,Y,
1.723,Computational Methods for Flow in Porous Media,12,2017-2018,Y,,,
1.731,Water Resource Systems,12,,Y,,,
1.74,Land, Water, Food, and Climate,6,,,,Y,
1.76,Aquatic Chemistry,12,,Y,,,
1.77,Water Quality Control,12,,,,Y,
1.78,Introduction to Soil Science,12,2017-2018,Y,,,
1.801,Environmental Law, Policy, and Economics: Pollution Prevention and Control,12,,Y,,,
1.802,Regulation of Chemicals, Radiation, and Biotechnology,12,,,,Y,
1.811,Environmental Law, Policy, and Economics: Pollution Prevention and Control,12,,Y,,,
1.812,Regulation of Chemicals, Radiation, and Biotechnology,12,,,,Y,
1.813,Technology, Globalization, and Sustainable Development,12,,Y,,,
1.818,Sustainable Energy,12,,Y,,,
1.83,Environmental Organic Chemistry,12,,Y,,,
1.831,Environmental Organic Chemistry,12,,Y,,,
1.84,Atmospheric Chemistry,12,,Y,,,
1.841,Atmospheric Composition in the Changing Earth System,12,2018-2019,,,Y,
1.842,Aerosol and Cloud Microphysics and Chemistry,12,,,,Y,
1.851,Water, Sanitation, Hygiene and Environmental Sanitation (WASH-ENV) in Low- and Middle-income Countries,,,,,Y,
1.86,Methods and Problems in Microbiology,12,,Y,,,
1.87,Microbial Genetics and Evolution,12,,Y,,,
1.871,Computational Ecology,12,,Y,,,
1.873,Fundamentals of Network and Community Ecology,12,,,,Y,
1.89,Environmental Microbiology,12,,,,Y,
1.899,Career Reengineering Program and Professional Development Workshops,1,,,,Y,
1.95,Teaching College-Level Science and Engineering,2,,Y,,,
1.968,Graduate Studies in Civil and Environmental Engineering,,,Y,Y,Y,Y
1.982,Research in Civil and Environmental Engineering,,,Y,,Y,Y
1.984,Teaching Experience in Civil and Environmental Engineering,3,,Y,,Y,
1.999,Undergraduate Studies in Civil and Environmental Engineering,,,Y,,Y,Y
1.EPE,UPOP Engineering Practice Experience,0,,Y,,Y,
1.EPW,UPOP Engineering Practice Workshop,1,,Y,Y,,
1.THG,Graduate Thesis,,,Y,Y,Y,Y
1.THU,Undergraduate Thesis,,,Y,Y,Y,Y
1.UR,Research in Civil and Environmental Engineering,,,Y,Y,Y,Y
1.URG,Research in Civil and Environmental Engineering,,,Y,Y,Y,Y
1.S82,Special Problems in Environmental Microbiology and Chemistry,,,Y,,Y,
1.S977,Special Graduate Subject in Civil and Environmental Engineering,,,Y,Y,Y,
1.S978,Special Graduate Subject in Civil and Environmental Engineering,,,Y,Y,Y,
1.S979,Special Graduate Subject in Civil and Environmental Engineering,,,,,Y,
1.S980,Special Graduate Subject in Civil and Environmental Engineering,,,,,Y,
1.S981,Special Graduate Subject in Civil and Environmental Engineering,,,Y,Y,Y,
1.S982,Special Graduate Subject in Civil and Environmental Engineering,,,Y,Y,Y,
1.S991,Special Undergraduate Subject in Civil and Environmental Engineering,,,Y,Y,Y,
1.S992,Special Undergraduate Subject in Civil and Environmental Engineering,,,,Y,,
1.S993,Special Undergraduate Subject in Civil and Environmental Engineering,,,Y,Y,Y,
2.00A,Fundamentals of Engineering Design: Explore Space, Sea and Earth,9,2018-2019,,,Y,
2.00B,Toy Product Design,9,,,,Y,
2.00C,Design for Complex Environmental Issues: Building Solutions and Communicating Ideas,9,,,,Y,
2.00,Introduction to Design,6,,Y,,,
2.001,Mechanics and Materials I,12,,,,,
2.002,Mechanics and Materials II,12,,,,Y,
2.003,Dynamics and Control I,12,,,,,
2.004,Dynamics and Control II,12,,Y,,Y,
2.005,Thermal-Fluids Engineering I,12,,Y,,Y,
2.006,Thermal-Fluids Engineering II,12,,Y,,Y,
2.007,Design and Manufacturing I,12,,,,,
2.008,Design and Manufacturing II,12,,Y,,Y,
2.009,The Product Engineering Process,12,,Y,,,
2.013,Engineering Systems Design,12,,Y,,,
2.014,Engineering Systems Development,12,,,,Y,
2.016,Hydrodynamics,12,,Y,,,
2.017,Design of Electromechanical Robotic Systems,12,,,,Y,
2.019,Design of Ocean Systems,12,,,,Y,
2.02A,Engineering Materials: Properties and Applications,6,2017-2018,Y,,,
2.04A,Systems and Controls,6,,,,Y,
2.05,Thermodynamics,6,,Y,,,
2.051,Introduction to Heat Transfer,6,,Y,,,
2.06,Fluid Dynamics,6,,Y,,Y,
2.086,Numerical Computation for Mechanical Engineers,12,,Y,,Y,
2.087,Engineering Mathematics: Linear Algebra and ODEs,6,,Y,,Y,
2.032,Dynamics,12,,Y,,,
2.033,Nonlinear Dynamics and Turbulence,12,2017-2018,,,Y,
2.034,Nonlinear Dynamics and Waves,12,2018-2019,,,Y,
2.036,Nonlinear Dynamics and Chaos,12,2017-2018,Y,,,
2.050,Nonlinear Dynamics: Chaos,12,,Y,,,
2.060,Structural Dynamics,12,,Y,,,
2.062,Wave Propagation,12,2017-2018,,,Y,
2.065,Acoustics and Sensing,12,,,,Y,
2.066,Acoustics and Sensing,12,,,,Y,
2.071,Mechanics of Solid Materials,12,,,,Y,
2.072,Mechanics of Continuous Media,12,2018-2019,Y,,,
2.073,Solid Mechanics: Plasticity and Inelastic Deformation,12,2017-2018,Y,,,
2.074,Solid Mechanics: Elasticity,12,,Y,,,
2.076,Mechanics of Heterogeneous Materials,12,2017-2018,Y,,,
2.080,Structural Mechanics,12,,Y,,,
2.081,Plates and Shells: Static and Dynamic Analysis,12,,,,Y,
2.082,Ship Structural Analysis and Design,6,,,,Y,
2.089,Computational Geometry,12,,,,Y,
2.091,Software and Computation for Simulation,12,,Y,,,
2.092,Finite Element Analysis of Solids and Fluids I,12,2017-2018,Y,,,
2.093,Finite Element Analysis of Solids and Fluids I,12,2017-2018,Y,,,
2.096,Introduction to Numerical Simulation,12,,Y,,,
2.097,Numerical Methods for Partial Differential Equations,12,,Y,,,
2.098,Introduction to Finite Element Methods for Partial Differential Equations,12,,,,Y,
2.099,Computational Mechanics of Materials,12,2017-2018,Y,,,
2.110,Information, Entropy, and Computation,9,2017-2018,,,Y,
2.111,Quantum Computation,12,,Y,,,
2.12,Introduction to Robotics,12,,Y,,,
2.120,Introduction to Robotics,12,,Y,,,
2.122,Stochastic Systems,12,,,,Y,
2.131,Advanced Instrumentation and Measurement,12,,,,Y,
2.14,Analysis and Design of Feedback Control Systems,12,,,,Y,
2.140,Analysis and Design of Feedback Control Systems,12,,,,Y,
2.141,Modeling and Simulation of Dynamic Systems,12,,Y,,,
2.151,Advanced System Dynamics and Control,12,,Y,,,
2.152,Nonlinear Control,12,,,,Y,
2.153,Adaptive Control,12,2017-2018,,,Y,
2.154,Maneuvering and Control of Surface  and Underwater Vehicles,12,,Y,,,
2.160,Identification, Estimation, and Learning,12,,,,Y,
2.165,Robotics,12,2017-2018,,,Y,
2.166,Autonomous Vehicles,12,2017-2018,,,Y,
2.167,Hands-On Marine Robotics,,2017-2018,Y,,,
2.171,Analysis and Design of Digital Control Systems,12,2017-2018,Y,,,
2.18,Biomolecular Feedback Systems,12,2017-2018,,,Y,
2.180,Biomolecular Feedback Systems,12,2017-2018,,,Y,
2.183,Biomechanics and Neural Control of Movement,12,,,,Y,
2.184,Biomechanics and Neural Control of Movement,12,,,,Y,
2.20,Marine Hydrodynamics,12,,Y,,,
2.22,Design Principles for Ocean Vehicles,12,,,,Y,
2.23,Hydrofoils and Propellers,6,2018-2019,,,Y,
2.24,Ocean Wave Interaction with Ships and Offshore Energy Systems,12,2017-2018,,,Y,
2.25,Fluid Mechanics,12,,Y,,,
2.250,Fluid Dynamics and Disease,12,,,,Y,
2.26,Advanced Fluid Dynamics,12,2017-2018,,,Y,
2.28,Fundamentals and Applications of Combustion,12,2018-2019,Y,,,
2.29,Numerical Fluid Mechanics,12,,,,Y,
2.341,Macromolecular Hydrodynamics,9,2018-2019,,,Y,
2.37,Fundamentals of Nanoengineering,12,,,,Y,
2.370,Fundamentals of Nanoengineering,12,,,,Y,
2.372,Design and Fabrication of Microelectromechanical Systems,12,2017-2018,,,Y,
2.374,Design and Fabrication of Microelectromechanical Systems,12,2017-2018,,,Y,
2.391,Nanostructure Fabrication,12,2017-2018,,,Y,
2.42,General Thermodynamics,12,,Y,,,
2.500,Desalination and Water Purification,12,,,,Y,
2.51,Intermediate Heat and Mass Transfer,12,,Y,,,
2.52,Modeling and Approximation of Thermal Processes,12,,Y,,,
2.55,Advanced Heat and Mass Transfer,12,,,,Y,
2.57,Nano-to-Macro Transport Processes,12,,,,Y,
