Subject Id,Subject Title,Total Units,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
5.371,Continuous Flow Chemistry:  Sustainable Conversion of Reclaimed Vegetable Oil into Biodiesel,4,,,,Y,
5.372,Chemistry of Renewable Energy,4,,Y,,,
5.373,Dinitrogen Cleavage,4,,Y,,,
5.381,Quantum Dots,3,,,,Y,
5.382,Time- and Frequency-resolved Spectroscopy of Photosynthesis,5,,,,Y,
5.383,Fast-flow Peptide and Protein Synthesis,4,,,,Y,
5.43,Advanced Organic Chemistry,12,,Y,,,
5.44,Organometallic Chemistry,6,2017-2018,,,Y,
5.45,Heterocyclic Chemistry,6,,,,Y,
5.46,NMR Spectroscopy and Organic Structure Determination,6,,,,Y,
5.47,Tutorial in Organic Chemistry,2,,Y,,,
5.511,Synthetic Organic Chemistry I,12,,,,,
5.512,Synthetic Organic Chemistry II,6,,,,Y,
5.52,Advanced Biological Chemistry,12,,Y,,,
5.53,Molecular Structure and Reactivity,9,,Y,,,
5.54,Frontiers in Chemical Biology,6,,Y,,,
5.56,Molecular Structure and Reactivity II,6,2018-2019,,,Y,
5.561,Chemistry in Industry,2,,,,Y,
5.60,Thermodynamics and Kinetics,12,,Y,,Y,
5.61,Physical Chemistry,12,,Y,,,
5.62,Physical Chemistry,12,,,,Y,
5.64,Frontiers of Interdisciplinary Science in Human Health and Disease,12,,,,Y,
5.68,Kinetics of Chemical Reactions,9,2017-2018,Y,,,
5.697,Computational Chemistry,12,,Y,,,
5.698,Quantum Chemical Simulation,12,,Y,,,
5.70,Statistical Thermodynamics,12,,Y,,,
5.72,Statistical Mechanics,6,2017-2018,,,Y,
5.73,Introductory Quantum Mechanics I,12,,,,,
5.74,Introductory Quantum Mechanics II,12,,,,Y,
5.78,Biophysical Chemistry Techniques,6,,,,Y,
5.80,Advanced Topics of Current Special Interest,12,,Y,,Y,
5.83,Advanced NMR Spectroscopy,6,2018-2019,,,Y,
5.891,Independent Study in Chemistry for Undergraduates,,,Y,Y,Y,Y
5.892,Independent Study in Chemistry for Undergraduates,,,Y,Y,Y,Y
5.90,Problems in Chemistry,,,Y,,Y,Y
5.913,Seminar in Organic Chemistry,2,,Y,,Y,
5.921,Seminar in Biological Chemistry,2,,Y,,Y,
5.931,Seminar in Physical Chemistry,2,,Y,,Y,
5.941,Seminar in Inorganic Chemistry,2,,Y,,Y,
5.95,Teaching College-Level Science and Engineering,2,,Y,,,
5.THG,Graduate Thesis,,,Y,Y,Y,Y
5.THU,Undergraduate Thesis,,,Y,Y,Y,Y
5.UR,Undergraduate Research,,,Y,Y,Y,Y
5.URG,Undergraduate Research,,,Y,Y,Y,Y
6.00,Introduction to Computer Science and Programming,12,,Y,,Y,
6.0001,Introduction to Computer Science Programming in Python,6,,Y,,Y,
6.0002,Introduction to Computational Thinking and Data Science,6,,Y,,Y,
6.002,Circuits and Electronics,12,,Y,,Y,
6.S064,Special Subject: Circuits and Electronics,12,2017-2018,,,Y,
6.003,Signals and Systems,12,,Y,,Y,
6.004,Computation Structures,12,,Y,,Y,
6.006,Introduction to Algorithms,12,,Y,,Y,
6.007,Electromagnetic Energy: From Motors to Solar Cells,12,,Y,,,
6.008,Introduction to Inference,12,,Y,,,
6.009,Fundamentals of Programming,12,,Y,,Y,
6.01,Introduction to EECS via Robotics,12,,,,,
6.011,Signals, Systems and Inference,12,,,,Y,
6.012,Microelectronic Devices and Circuits,12,,Y,,Y,
6.013,Electromagnetics and Applications,12,,,,Y,
6.02,Introduction to EECS via Communications Networks,12,,Y,,,
6.021,Cellular Neurophysiology and Computing,12,,Y,,,
6.022,Quantitative Systems Physiology,12,,,,Y,
6.023,Fields, Forces and Flows in Biological Systems,12,,,,Y,
6.024,Molecular, Cellular, and Tissue Biomechanics,12,,Y,,,
6.025,Medical Device Design,12,,Y,,,
6.027,Biomolecular Feedback Systems,12,2017-2018,,,Y,
6.03,Introduction to EECS via Medical Technology,12,,,,Y,
6.031,Elements of Software Construction,15,,Y,,Y,
6.033,Computer System Engineering,12,,,,Y,
6.034,Artificial Intelligence,12,,Y,,,
6.035,Computer Language Engineering,12,,Y,,,
6.036,Introduction to Machine Learning,12,,Y,,Y,
6.037,Structure and Interpretation of Computer Programs,1,,,Y,,
6.041A,Introduction to Probability I,6,,Y,,Y,
6.041B,Introduction to Probability II,6,,Y,,Y,
6.042,Mathematics for Computer Science,12,,Y,,Y,
6.045,Automata, Computability, and Complexity,12,,,,Y,
6.046,Design and Analysis of Algorithms,12,,Y,,Y,
6.047,Computational Biology: Genomes, Networks, Evolution,12,,Y,,,
6.049,Evolutionary Biology:  Concepts, Models and Computation,12,2017-2018,,,Y,
6.050,Information, Entropy, and Computation,9,2017-2018,,,Y,
6.057,Introduction to MATLAB,1,,,Y,,
6.058,Introduction to Signals and Systems, and Feedback Control,4,,,Y,,
6.061,Introduction to Electric Power Systems,12,2017-2018,,,Y,
6.070,Electronics Project Laboratory,6,,Y,,Y,
6.072,Introduction to Digital Electronics,3,,Y,,Y,
6.073,Creating Video Games,12,,,,Y,
6.08,Introduction to EECS via Interconnected Embedded Systems,12,,,,Y,
6.S062,Special Subject in Electrical Engineering and Computer Science,,,,,Y,
6.S063,Special Subject in Electrical Engineering and Computer Science,,,Y,,,
6.S076,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S077,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S078,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S079,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S080,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S081,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S082,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S083,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S084,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S085,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S086,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S087,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S088,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S089,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S090,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S091,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S092,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S093,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S094,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S095,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S096,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S097,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S098,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S099,Special Subject in Electrical Engineering and Computer Science,,,,Y,,
6.100,Electrical Engineering and Computer Science Project,,,Y,,Y,Y
6.101,Introductory Analog Electronics Laboratory,12,,,,Y,
6.111,Introductory Digital Systems Laboratory,12,,Y,,,
6.115,Microcomputer Project Laboratory,12,,,,Y,
6.1151,Microcomputer Project Laboratory - Independent Inquiry,15,,,,Y,
6.117,Introduction to Electrical Engineering Lab Skills,4,,,Y,,
6.123,Bioinstrumentation Project Lab,12,,,,Y,
6.129,Biological Circuit Engineering Laboratory,12,,,,Y,
6.131,Power Electronics Laboratory,12,,Y,,,
6.1311,Power Electronics Laboratory - Independent Inquiry,15,,Y,,,
6.141,Robotics: Science and Systems,12,,,,Y,
6.146,Mobile Autonomous Systems Laboratory: MASLAB,4,,,Y,,
6.147,The Battlecode Programming Competition,2,,,Y,,
6.148,Web Programming Competition,1,,,Y,,
6.149,Introduction to Programming Using Python,3,,,Y,,
6.150,Mobile Applications Competition,4,,,Y,,
6.151,iOS Game Design and Development Competition,4,,,Y,,
6.152,Micro/Nano Processing Technology,12,,Y,,,
6.161,Modern Optics Project Laboratory,12,,Y,,,
6.163,Strobe Project Laboratory,12,,Y,,Y,
6.169,Theory and Application of Circuits and Electronics,3,,Y,,,
6.170,Software Studio,12,2017-2018,Y,,,
6.172,Performance Engineering of Software Systems,18,,Y,,,
6.175,Constructive Computer Architecture,12,,Y,,,
6.176,Pokerbots Competition,1,2017-2018,,Y,,
6.177,Building Programming Experience in Python,1,,,Y,,
6.178,Introduction to Software Engineering in Java,2,,,Y,,
6.179,Introduction to C and C++,6,,,Y,,
6.182,Psychoacoustics Project Laboratory,12,,,,Y,
6.S183,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S184,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S185,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S186,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S187,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S188,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S189,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S190,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S191,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S192,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,,
6.S197,Special Laboratory Subject in Electrical Engineering and Computer Science,,,Y,,,
6.S193,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,Y,
6.S194,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,Y,
6.S195,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,Y,
6.S196,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,Y,
6.S198,Special Laboratory Subject in Electrical Engineering and Computer Science,,,,Y,Y,
6.UAP,Undergraduate Advanced Project,6,,Y,Y,Y,Y
6.UAR,Seminar in Undergraduate Advanced Research,6,,Y,,Y,
6.UAT,Oral Communication,9,,Y,,Y,
6.URS,Undergraduate Research in Electrical Engineering and Computer Science,,,Y,Y,Y,Y
6.207,Networks,12,,,,Y,
6.215,Optimization Methods,12,,Y,,,
6.231,Dynamic Programming and Stochastic Control,12,2017-2018,,,Y,
6.241,Dynamic Systems and Control,12,,,,Y,
6.245,Multivariable Control Systems,12,2017-2018,Y,,,
6.246,Advanced Topics in Control,12,,,,Y,
6.247,Advanced Topics in Control,12,,,,Y,
6.248,Advanced Topics in Numerical Methods,12,,Y,,Y,
6.249,Advanced Topics in Numerical Methods,12,,Y,,Y,
6.251,Introduction to Mathematical Programming,12,,Y,,,
6.252,Nonlinear Optimization,12,,,,Y,
6.254,Game Theory with Engineering Applications,12,2017-2018,Y,,,
6.255,Optimization Methods,12,,Y,,,
6.256,Algebraic Techniques and Semidefinite Optimization,12,2017-2018,,,Y,
6.260,Advanced Topics in Communications,12,,Y,,Y,
6.261,Advanced Topics in Communications,12,,Y,,Y,
6.262,Discrete Stochastic Processes,12,2017-2018,,,Y,
6.263,Data-Communication Networks,12,2017-2018,Y,,,
6.265,Advanced Stochastic Processes,12,,,,Y,
6.267,Heterogeneous Networks: Architecture, Transport, Proctocols, and Management,12,2018-2019,Y,,,
6.268,Network Science and Models,12,,,,Y,
6.301,Solid-State Circuits,12,,Y,,,
6.302,Feedback System Design,12,,,,Y,
6.320,Feedback System Design,12,,,,Y,
6.332,Advanced Topics in Circuits,12,,Y,,Y,
6.333,Advanced Topics in Circuits,12,,Y,,Y,
6.334,Power Electronics,12,,,,Y,
6.335,Fast Methods for Partial Differential and Integral Equations,12,,Y,,,
6.336,Introduction to Numerical Simulation,12,,Y,,,
6.337,Introduction to Numerical Methods,12,,,,Y,
6.338,Numerical Computing and Interactive Software,12,,Y,,,
6.339,Numerical Methods for Partial Differential Equations,12,,Y,,,
6.341,Discrete-Time Signal Processing,12,,Y,,,
6.344,Digital Image Processing,12,,,,Y,
6.345,Automatic Speech Recognition,12,2017-2018,,,Y,
6.347,Advanced Topics in Signals and Systems,12,,Y,,Y,
6.348,Advanced Topics in Signals and Systems,12,,Y,,Y,
6.374,Analysis and Design of Digital Integrated Circuits,12,,Y,,,
6.375,Complex Digital Systems Design,12,2017-2018,,,Y,
6.419,Statistics, Computation and Applications,12,,Y,,,
6.431A,Introduction to Probability I,6,,Y,,Y,
6.431B,Introduction to Probability II,6,,Y,,Y,
6.434,Statistics for Engineers and Scientists,12,,Y,,,
6.436,Fundamentals of Probability,12,,Y,,,
6.437,Inference and Information,12,,,,Y,
6.438,Algorithms for Inference,12,,Y,,,
6.439,Statistics, Computation and Applications,12,,Y,,,
6.440,Essential Coding Theory,12,2017-2018,,,Y,
6.441,Information Theory,12,2017-2018,,,Y,
6.442,Optical Networks,12,2018-2019,,,Y,
6.443,Quantum Information Science,12,,,,Y,
6.450,Principles of Digital Communication,12,2017-2018,Y,,,
6.452,Principles of Wireless Communication,12,2017-2018,Y,,,
6.453,Quantum Optical Communication,12,2017-2018,Y,,,
6.454,Graduate Seminar in Area I,6,2017-2018,Y,,,
6.456,Array Processing,12,,Y,,,
6.503,Foundations of Algorithms and Computational Techniques in Systems Biology,12,2017-2018,,,Y,
6.521,Cellular Neurophysiology and Computing,12,,Y,,,
6.522,Quantitative Physiology: Organ Transport Systems,12,,,,Y,
6.524,Molecular, Cellular, and Tissue Biomechanics,12,2017-2018,Y,,,
6.525,Medical Device Design,12,,Y,,,
6.542,Laboratory on the Physiology, Acoustics, and Perception of Speech,12,,,,Y,
6.544,Advanced Topics in BioEECS,12,,Y,,Y,
6.545,Advanced Topics in BioEECS,12,,Y,,Y,
6.552,Signal Processing by the Auditory System: Perception,12,2017-2018,Y,,,
6.555,Biomedical Signal and Image Processing,12,,,,Y,
6.556,Data Acquisition and Image Reconstruction in MRI,12,,Y,,,
6.557,Biomolecular Feedback Systems,12,2017-2018,,,Y,
6.561,Fields, Forces, and Flows in Biological Systems,12,,Y,,,
6.580,Principles of Synthetic Biology,12,2017-2018,Y,,,
6.581,Foundations of Algorithms and Computational Techniques in Systems Biology,12,2017-2018,,,Y,
6.589,Principles of Synthetic Biology,12,2017-2018,Y,,,
6.602,Fundamentals of Photonics,12,2017-2018,Y,,,
6.621,Fundamentals of Photonics,12,2017-2018,Y,,,
6.630,Electromagnetics,12,,Y,,,
6.631,Optics and Photonics,12,,Y,,,
6.632,Electromagnetic Wave Theory,12,2018-2019,,,Y,
6.634,Nonlinear Optics,12,,,,Y,
6.637,Optical Signals, Devices, and Systems,12,,Y,,,
6.641,Electromagnetic Fields, Forces, and Motion,12,2017-2018,Y,,,
6.642,Continuum Electromechanics,12,2017-2018,,,Y,
6.644,Advanced Topics in Applied Physics,12,,Y,,,
6.645,Advanced Topics in Applied Physics,12,,Y,,,
6.685,Electric Machines,12,2018-2019,Y,,,
6.690,Introduction to Electric Power Systems,12,2017-2018,,,Y,
6.695,Engineering, Economics and Regulation of the Electric Power Sector,12,,,,Y,
6.701,Introduction to Nanoelectronics,12,2017-2018,Y,,,
6.717,Design and Fabrication of Microelectromechanical Systems,12,2017-2018,,,Y,
6.719,Nanoelectronics,12,2017-2018,Y,,,
6.720,Integrated Microelectronic Devices,12,,Y,,,
6.728,Applied Quantum and Statistical Physics,12,,Y,,,
6.730,Physics for Solid-State Applications,12,,,,Y,
6.731,Semiconductor Optoelectronics: Theory and Design,12,2017-2018,,,Y,
6.732,Physics of Solids,12,2017-2018,Y,,,
6.735,Advanced Topics in Materials, Devices, and Nanotechnology,12,,Y,,Y,
6.736,Advanced Topics in Materials, Devices, and Nanotechnology,12,,Y,,Y,
6.774,Physics of Microfabrication: Front End Processing,12,,Y,,,
6.775,CMOS Analog and Mixed-Signal Circuit Design,12,,,,Y,
6.776,High Speed Communication Circuits,12,,Y,,,
6.777,Design and Fabrication of Microelectromechanical Systems,12,2017-2018,,,Y,
6.780,Control of Manufacturing Processes,12,,,,Y,
6.781,Nanostructure Fabrication,12,2017-2018,,,Y,
6.801,Machine Vision,12,2017-2018,Y,,,
6.802,Foundations of Computational and Systems Biology,12,2017-2018,,,Y,
6.803,The Human Intelligence Enterprise,12,,,,Y,
6.804,Computational Cognitive Science,12,,Y,,,
6.805,Foundations of Information Policy,12,,Y,,,
6.806,Advanced Natural Language Processing,12,,Y,,,
6.807,Computational Fabrication,12,,,,Y,
6.809,Interactive Music Systems,12,,Y,,Y,
6.811,Principles and Practice of Assistive Technology,12,,Y,,,
6.813,User Interface Design and Implementation,12,,,,Y,
6.814,Database Systems,12,,Y,,,
6.815,Digital and Computational Photography,12,,Y,,,
6.816,Multicore Programming,12,2017-2018,,,Y,
6.819,Advances in Computer Vision,12,,Y,,,
6.820,Foundations of Program Analysis,12,2018-2019,Y,,,
6.822,Formal Reasoning About Programs,12,,,,Y,
6.823,Computer System Architecture,12,2017-2018,,,Y,
6.824,Distributed Computer Systems Engineering,12,,,,Y,
6.826,Principles of Computer Systems,12,,Y,,,
6.828,Operating System Engineering,12,,Y,,,
6.829,Computer Networks,12,,Y,,,
6.830,Database Systems,12,,Y,,,
6.831,User Interface Design and Implementation,12,,,,Y,
6.832,Underactuated Robotics,12,,,,Y,
6.833,The Human Intelligence Enterprise,12,,,,Y,
6.834,Cognitive Robotics,12,,,,Y,
6.835,Intelligent Multimodal User Interfaces,12,,,,Y,
6.836,Multicore Programming,12,2017-2018,,,Y,
6.837,Computer Graphics,12,,Y,,,
6.838,Advanced Topics in Computer Graphics,12,2017-2018,,,Y,
6.839,Advanced Computer Graphics,12,2017-2018,,,Y,
6.840,Theory of Computation,12,,Y,,,
6.841,Advanced Complexity Theory,12,2018-2019,Y,,,
6.842,Randomness and Computation,12,2018-2019,Y,,,
6.845,Quantum Complexity Theory,12,2017-2018,Y,,,
6.846,Parallel Computing,12,,,,Y,
6.849,Geometric Folding Algorithms: Linkages, Origami, Polyhedra,12,2017-2018,,,Y,
6.850,Geometric Computing,12,,,,Y,
6.851,Advanced Data Structures,12,2018-2019,Y,,,
6.852,Distributed Algorithms,12,2017-2018,Y,,,
6.853,Topics in Algorithmic Game Theory,12,2017-2018,,,Y,
6.854,Advanced Algorithms,12,,Y,,,
6.856,Randomized Algorithms,12,2017-2018,,,Y,
6.857,Network and Computer Security,12,,,,Y,
6.858,Computer Systems Security,12,,,,Y,
6.860,Statistical Learning Theory and Applications,12,,Y,,,
6.861,Aspects of a Computational Theory of Intelligence,12,,Y,,,
6.862,Applied Machine Learning,12,,,,Y,
6.863,Natural Language and the Computer Representation of Knowledge,12,,,,Y,
6.864,Advanced Natural Language Processing,12,,Y,,,
6.865,Advanced Computational Photography,12,,Y,,,
6.866,Machine Vision,12,2017-2018,Y,,,
6.867,Machine Learning,12,,Y,,,
6.868,The Society of Mind,12,2017-2018,,,Y,
6.869,Advances in Computer Vision,12,,Y,,,
6.870,Advanced Topics in Computer Vision,12,,Y,,,
6.871,Performance Engineering of Software Systems,18,,Y,,,
6.872,Biomedical Computing,12,,Y,,,
6.874,Computational Systems Biology,12,2017-2018,,,Y,
6.875,Cryptography and Cryptanalysis,12,,,,Y,
6.876,Advanced Topics in Cryptography,12,,Y,,,
6.878,Advanced Computational Biology: Genomes, Networks, Evolution,12,,Y,,,
6.881,Advanced Topics in Artificial Intelligence,12,,,,Y,
6.882,Advanced Topics in Artificial Intelligence,12,,,,Y,
6.883,Advanced Topics in Artificial Intelligence,12,,Y,,Y,
6.884,Advanced Topics in Artificial Intelligence,12,,,,Y,
6.885,Advanced Topics in Computer Systems,12,,Y,,,
6.886,Advanced Topics in Computer Systems,12,,Y,,,
6.887,Advanced Topics in Computer Systems,12,,Y,,,
6.888,Advanced Topics in Computer Systems,12,,Y,,,
6.889,Advanced Topics in Theoretical Computer Science,12,,Y,,Y,
6.890,Advanced Topics in Theoretical Computer Science,12,,Y,,Y,
6.891,Advanced Topics in Theoretical Computer Science,12,,Y,,Y,
6.892,Advanced Topics in Theoretical Computer Science,12,,Y,,Y,
6.893,Advanced Topics in Theoretical Computer Science,12,,Y,,Y,
6.894,Advanced Topics in Graphics and Human-Computer Interfaces,12,,Y,,Y,
6.895,Advanced Topics in Graphics and Human-Computer Interfaces,12,,Y,,Y,
6.896,Advanced Topics in Graphics and Human-Computer Interfaces,12,,Y,,Y,
6.901,Innovation Engineering: Moving Ideas to Impact,12,,Y,,,
6.902,Engineering Innovation and Design,6,,Y,,Y,
6.903,Patents, Copyrights, and the Law of Intellectual Property,6,,,,Y,
6.904,Ethics for Engineers,6,,Y,,Y,
6.9041,Ethics for Engineers - Independent Inquiry,12,,Y,,Y,
6.905,Large-scale Symbolic Systems,12,2017-2018,,,Y,
6.906,StartMIT: Workshop for Entrepreneurs and Innovators,4,,,Y,,
6.907,Entrepreneurship in Engineering,12,,Y,,Y,
6.910,Independent Study in Electrical Engineering and Computer Science,,,Y,Y,Y,Y
6.911,Engineering Leadership Lab,3,,Y,,Y,
6.912,Engineering Leadership,3,,Y,,Y,
6.913,Engineering Leadership Lab,6,,Y,,Y,
6.914,Project Engineering,3,,,Y,,
6.915,Leading Innovation in Teams,9,2017-2018,,,Y,
6.920,Practical Work Experience,1,,Y,Y,Y,Y
6.921,6-A Internship,12,,,,,Y
6.922,Advanced 6-A Internship,12,,,,Y,Y
6.928,Leading Creative Teams,9,,Y,,Y,
6.929,Energy Technology and Policy:  From Principles to Practice,9,,,,Y,
6.930,Management in Engineering,12,,Y,,,
6.933,Entrepreneurship in Engineering,12,,Y,,Y,
6.935,Financial Market Dynamics and Human Behavior,9,2017-2018,,,Y,
6.936,StartMIT: Workshop for Entrepreneurs and Innovators,4,,,Y,,
6.941,Statistics for Research Projects: Statistical Modeling and Experiment Design,4,,,Y,,
6.943,How to Make (Almost) Anything,18,,Y,,,
6.945,Large-scale Symbolic Systems,12,2017-2018,,,Y,
6.946,Classical Mechanics: A Computational Approach,12,2017-2018,Y,,,
6.951,Graduate 6-A Internship,12,,,,,
6.952,Graduate 6-A Internship,12,,Y,,Y,Y
6.960,Introductory Research in Electrical Engineering and Computer Science,,,Y,,Y,Y
6.961,Introduction to Research in Electrical Engineering and Computer Science,3,,Y,,Y,Y
6.962,Independent Study in Electrical Engineering and Computer Science,,,Y,Y,Y,Y
6.980,Teaching Electrical Engineering and Computer Science,,,Y,,Y,
6.981,Teaching Electrical Engineering and Computer Science,,,Y,,Y,
6.991,Research in Electrical Engineering and Computer Science,,,Y,,Y,Y
6.998,Practical Experience in EECS,1,,Y,Y,Y,Y
6.999,Practical Experience in EECS,,,Y,,Y,
6.EPE,UPOP Engineering Practice Experience,0,,,,,
6.EPW,UPOP Engineering Practice Workshop,1,,Y,Y,,
6.S897,Special Subject in Computer Science,,,Y,,,
6.S898,Special Subject in Computer Science,,,Y,,,
6.S899,Special Subject in Computer Science,,,Y,,,
6.S911,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S912,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S913,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S914,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S915,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S916,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S917,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S918,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S919,Special Subject in Electrical Engineering and Computer Science,,,Y,Y,Y,
6.S963,Special Studies: EECS,,,Y,,,
6.S964,Special Studies: EECS,,,Y,,,
6.S965,Special Studies: EECS,,,Y,,,
6.S966,Special Studies: EECS,,,Y,,,
6.S967,Special Studies: EECS,,,Y,,,
6.S974,Special Subject in Electrical Engineering and Computer Science,,,Y,,Y,
6.S975,Special Subject in Electrical Engineering and Computer Science,,,,,Y,
6.S976,Special Subject in Electrical Engineering and Computer Science,,,,,Y,
6.S977,Special Subject in Electrical Engineering and Computer Science,,,,,Y,
6.S978,Special Subject in Electrical Engineering and Computer Science,,,,,Y,
6.S979,Special Subject in Electrical Engineering and Computer Science,,,,,Y,
6.THG,Graduate Thesis,,,Y,Y,Y,Y
6.THM,Master of Engineering Program Thesis,,,Y,Y,Y,Y
6.UR,Undergraduate Research in Electrical Engineering and Computer Science,,,Y,Y,Y,Y
7.012,Introductory Biology,12,,Y,,,
7.013,Introductory Biology,12,,,,Y,
7.014,Introductory Biology,12,,,,Y,
7.015,Introductory Biology,12,,Y,,,
7.016,Introductory Biology,12,,Y,,,
7.02,Introduction to Experimental Biology and Communication,18,,Y,,Y,
7.03,Genetics,12,,Y,,Y,
7.05,General Biochemistry,12,,,,Y,
7.06,Cell Biology,12,,Y,,Y,
7.08,Biological Chemistry II,12,,,,Y,
7.09,Quantitative and Computational Biology,12,,,,Y,
7.102,Laboratory in Molecular Biology,6,,,Y,,
7.11,Biology Teaching,,,Y,,Y,
7.18,Topics in Experimental Biology,30,,Y,,Y,
7.19,Communication in Experimental Biology,12,,Y,,Y,
7.20,Human Physiology,12,,Y,,,
7.21,Microbial Physiology,12,,Y,,,
7.22,Developmental Biology,12,2017-2018,Y,,,
7.23,Immunology,12,2017-2018,Y,,,
7.26,Molecular Basis of Infectious Disease,12,,,,Y,
7.27,Principles of Human Disease,12,,,,Y,
7.28,Molecular Biology,12,,,,Y,
7.29,Cellular and Molecular Neurobiology,12,,,,Y,
7.30A,Fundamentals of Ecology I,6,,Y,,,
7.30B,Fundamentals of Ecology II,6,,Y,,,
7.31,Current Topics in Mammalian Biology: Medical Implications,12,,Y,,,
7.32,Systems Biology,12,,Y,,,
7.33,Evolutionary Biology:  Concepts, Models and Computation,12,2017-2018,,,Y,
7.331,Infections and Inequalities: Interdisciplinary Perspectives on Global Health,12,2017-2018,,,Y,
7.340,Advanced Undergraduate Seminar,2,,Y,,Y,
7.341,Advanced Undergraduate Seminar,2,,Y,,Y,
7.342,Advanced Undergraduate Seminar,2,,Y,,Y,
7.343,Advanced Undergraduate Seminar,2,,Y,,Y,
7.344,Advanced Undergraduate Seminar,2,,Y,,Y,
7.345,Advanced Undergraduate Seminar,2,,Y,,Y,
7.346,Advanced Undergraduate Seminar,2,,Y,,Y,
7.347,Advanced Undergraduate Seminar,2,,Y,,Y,
7.348,Advanced Undergraduate Seminar,2,,Y,,Y,
7.349,Advanced Undergraduate Seminar,2,,Y,,Y,
7.37,Molecular and Engineering Aspects of Biotechnology,12,,,,Y,
7.371,Biological and Engineering Principles Underlying Novel Biotherapeutics,12,,Y,,,
7.41,Principles of Chemical Biology,12,,,,Y,
7.45,The Hallmarks of Cancer,12,,Y,,,
7.458,Advances in Biomanufacturing,1,,,,Y,
7.49,Developmental Neurobiology,12,2017-2018,,,Y,
7.391,Independent Study in Biology,,,Y,,Y,
7.392,Independent Study in Biology,,,Y,,Y,
7.393,Independent Study in Genetics,,,Y,,Y,
7.394,Independent Study in Biochemistry,,,Y,,Y,
7.395,Independent Study in Cell and Molecular Biology,,,Y,,Y,
7.396,Independent Study in Experimental Biology,,,Y,Y,Y,
7.S391,Special Subject in Biology,,,Y,,Y,Y
7.S392,Special Subject in Biology,,,Y,Y,Y,
7.S399,Special Subject in Biology,,,Y,Y,Y,
7.UR,Undergraduate Research,,,Y,Y,Y,Y
7.URG,Undergraduate Research,,,Y,Y,Y,Y
7.410,Applied Statistics,12,,,,Y,
7.411,Seminars in Biological Oceanography,,,Y,,Y,
7.421,Problems in Biological Oceanography,,,Y,,Y,
7.430,Topics in Quantitative Marine Science,6,,Y,,Y,
7.431,Topics in Marine Ecology,6,,Y,,Y,
7.432,Topics in Marine Physiology and Biochemistry,6,,Y,,Y,
7.433,Topics in Biological Oceanography,6,,Y,,Y,
